source	nct_id	minimum_age	maximum_age	arm_name	ae	sae	subjects_at_risk	female	male	age_m	age_s	bmi_m	bmi_s	total_derived	fu_days	ctgov_group_code_bas	ctgov_group_code_aes	gender_elig	hard_outcome	type_comparison	comparison_type	cmprsn
ng	NCT00409760	18		Valsartan 320mg		1	128	61	67	56.8					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan 40mg		2	127	55	72	55					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan 80mg		1	124	68	56	53.1					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan/Amlodipine 160/2.5mg		0	127	60	67	55.1					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan/Amlodipine 160/5mg		0	127	69	58	54.9					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan/Amlodipine 320/2.5mg		1	129	54	75	55.1					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan/Amlodipine 320/5mg		1	127	56	71	55.3					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan/Amlodipine 40/2.5mg		2	129	53	76	54.5					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan/Amlodipine 40/5mg		1	125	54	71	53.4					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan/Amlodipine 80/2.5mg		1	130	51	79	54.1					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan/Amlodipine 80/5mg		1	128	71	57	54.2					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00413049	18	85	Amlodipine 5 mg	2	2	349	109	240	54.2	9.1				56	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00413049	18	85	Total	6	6	698	243	453	53.8	9.4				56	B3	Total	All	0	diff_class3	cc3	C09
ctg	NCT00413049	18	85	Valsartan/Amlodipine 80/5 mg	4	4	349	134	213	53.4	9.7				56	B1	E1	All	0	diff_class3	cc3	C09
ctg	NCT00413413	18	85	Total	8	8	918	346	570	51.5	9.8				56	B4	Total	All	0	diff_class3	cc3	C08
ctg	NCT00413413	18	85	Valsartan 160 mg	4	4	303	104	198	51.2	9.6				56	B3	E3	All	0	diff_class3	cc3	C08
ctg	NCT00413413	18	85	Valsartan 80 mg	0	0	307	115	191	51.7	8.9				56	B2	E2	All	0	diff_class3	cc3	C08
ctg	NCT00413413	18	85	Valsartan/Amlodipine 80/5 mg	4	4	308	127	181	51.6	10.8				56	B1	E1	All	0	diff_class3	cc3	C08
ctg	NCT00425373	20	80	Amlodipine 2.5 mg	13	1	161	49	112	53.2	10.83				56	B7	E4	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Amlodipine 5 mg	12	0	161	40	121	54.4	10.67				56	B8	E7	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Placebo	19	2	166	55	111	51.5	10.58				56	B9	E1	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Total	148	5	1468	405	1063	53.1	10.57				56	B10	Total	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Valsartan + Amlodipine 40/2.5 mg	17	0	159	46	113	53.9	10.34				56	B1	E5	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Valsartan + Amlodipine 40/5 mg	21	1	167	49	118	52.8	10.7				56	B2	E8	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Valsartan + Amlodipine 80/2.5 mg	10	1	160	40	120	52.8	10.76				56	B3	E6	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Valsartan + Amlodipine 80/5 mg	14	0	162	39	123	54.1	9.75				56	B4	E9	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Valsartan 40 mg	23	0	169	38	131	52.9	10.08				56	B5	E2	All	0	placebo	cc_plac	C08CA01|C09CA03
ctg	NCT00425373	20	80	Valsartan 80 mg	19	0	163	49	114	52.6	11.29				56	B6	E3	All	0	placebo	cc_plac	C08CA01|C09CA03
jo	NCT00425997	18		Total	194	5	482	225	257	57.4	10.35	30.85	5.75	jo	70			All	0	diff_class3	cc3	C08|C09
ng	NCT00439738	40		HCTZ +Amlodipine		1	206	148	58	55.4	8.54	35.2	7.33		112			All	0	diff_class3	cc3	C08|C09
ng	NCT00439738	40		Total		1	412	272	140	55.95	8.585117937	35	7.098890758	calculated	112			All	0	diff_class3	cc3	C08|C09
ng	NCT00439738	40		valsartan/HCTZ		0	206	124	82	56.5	8.63	34.8	6.86		112			All	0	diff_class3	cc3	C08|C09
jo	NCT00454662	65	84	Total	1399	464	5141	2488	2653	74.2	2.83	24.28	3.4	jo	1201.2			All	1	diff_class3	cc3	C03|C08
jo	NCT00500604	18	80	Total			1617							jo	168			All	0	diff_class7	cc7	C09CA03|C09CA04
ctg	NCT00529451	18		Aliskiren 150 mg	5	2	323	140	183	53.3	10.53				56	B2	E2	All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00529451	18		Aliskiren 300 mg	5	1	331	150	181	53.8	9.45				56	B1	E1	All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00529451	18		Aliskiren 75 mg	5	3	332	144	188	52.7	10.22				56	B3	E3	All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00529451	18		Ramipril 5 mg	18	1	329	151	179	52.9	9.6				56	B4	E4	All	0	diff_class5	cc5	C09AA|C09XA
jo	NCT00529451	18		Total	237	7	1613	882	731	53.2	9.95	26.1	3.58	jo	56			All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00529451	18		Total	33	7	1315	585	731	53.2	9.95				56	B5	Total	All	0	diff_class5	cc5	C09AA|C09XA
ng	NCT00538486	30	70	Metformin	34		180	118	62	58	7	27.7	2.9		168			All	0	placebo	cc_plac	A10BA02
ng	NCT00538486	30	70	Placebo	32		180	108	72	57	7	27.4	2.7		168			All	0	placebo	cc_plac	A10BA02
ng	NCT00538486	30	70	Total	66	0	360	226	134	57.5	7	27.55	2.8		168			All	0	placebo	cc_plac	A10BA02
ctg	NCT00546754	18	75	Losartan 50 mg/HCTZ 12.5 mg	67	11	425	197	219	58.7	11.11				84	B1	E1	All	0	diff_class7	cc7	C09CA01|C09CA03
ctg	NCT00546754	18	75	Total	129	16	808	377	412	58.5	10.71				84	B3	Total	All	0	diff_class7	cc7	C09CA01|C09CA03
ctg	NCT00546754	18	75	Valsartan 80 mg/HCTZ 12.5 mg	62	5	383	180	193	58.3	10.26				84	B2	E2	All	0	diff_class7	cc7	C09CA01|C09CA03
ctg	NCT00550953	20		Telmisartan 40 mg Monotherapy	16	0	158	35	123	55.5	10.2				56	B2	E2	All	0	diff_class3	cc3	C08
ctg	NCT00550953	20		Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination	20	1	156	42	114	55.4	9.1				56	B1	E1	All	0	diff_class3	cc3	C08
ctg	NCT00550953	20		Total	36	1	314	77	237	55.5	9.6				56	B3	Total	All	0	diff_class3	cc3	C08
ctg	NCT00553267	18		Amlodipine 10mg	23	1	#NAME?	128	187	56.4	10.4				56	B1	E1	All	0	diff_class3	cc3	C09
ctg	NCT00553267	18		Telmisartan 40mg and Amlodipine 10mg	24	3	#NAME?	145	170	57.6	9.4				56	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00553267	18		Telmisartan 80mg and Amlodipine 10mg	27	0	#NAME?	146	171	55.5	9.8				56	B3	E3	All	0	diff_class3	cc3	C09
ctg	NCT00553267	18		Total	74	4	#NAME?	419	528	56.5	9.9				56	B4	Total	All	0	diff_class3	cc3	C09
ctg	NCT00558064	20		Amlodipine 5 mg Monotherapy	36	2	262	76	186	56	9.9				56	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00558064	20		Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination	26	1	269	72	197	57	9.6				56	B1	E1	All	0	diff_class3	cc3	C09
ctg	NCT00558064	20		Total	62	3	531	148	383	56.5	9.7				56	B3	Total	All	0	diff_class3	cc3	C09
ctg	NCT00558428	18		Amlodipine 10mg	75	1	276	100	176	54.3	10.6				56	B2	E2	All	1	diff_class3	cc3	C09
ctg	NCT00558428	18		Amlodipine 5mg	24	2	267	104	163	54	10.6				56	B1	E1	All	1	diff_class3	cc3	C09
ctg	NCT00558428	18		Telmisartan 40mg and Amlodipine 5mg	16	2	277	117	160	53.9	11				56	B3	E3	All	1	diff_class3	cc3	C09
ctg	NCT00558428	18		Telmisartan 80mg and Amlodipine 5mg	11	1	277	94	183	54.5	10.2				56	B4	E4	All	1	diff_class3	cc3	C09
ctg	NCT00558428	18		Total	126	6	1097	415	682	54.2	10.6				56	B5	Total	All	1	diff_class3	cc3	C09
ctg	NCT00591578	18		Azilsartan Medoxomil 40 mg QD	85	8	327	163	164	57.8	12.1				168	B1		All	0	diff_class7	cc7	C09CA03|C09CA09
ctg	NCT00591578	18		Azilsartan Medoxomil 80 mg QD	79	5	329	160	169	56.8	10.7				168	B2		All	0	diff_class7	cc7	C09CA03|C09CA09
ctg	NCT00591578	18		Total	245	25	1152	475	509	57.56666667	11.23333333				168	B4		All	0	diff_class7	cc7	C09CA03|C09CA09
ctg	NCT00591578	18		Valsartan 320 mg QD	61	8	326	152	176	58.1	10.9				168	B3		All	0	diff_class7	cc7	C09CA03|C09CA09
ctg	NCT00614380	18		Telmisartan 40mg and Amlodipine 5mg	79	22	976	240	324	54.8	10.9				238	B1	E1	All	0	same_class7	sm7	C08CA01|C08CA01|C09CA07|C09CA07
ctg	NCT00614380	18		Telmisartan 40mg and Amlodipine 5mg	79	22	976	8	17	54.4	10.8				238	B3	E1	All	0	same_class7	sm7	C08CA01|C08CA01|C09CA07|C09CA07
ctg	NCT00614380	18		Telmisartan 80mg and Amlodipine 5mg	51	6	397	72	134	52.9	10.6				238	B2	E2	All	0	same_class7	sm7	C08CA01|C08CA01|C09CA07|C09CA07
ctg	NCT00614380	18		Telmisartan 80mg and Amlodipine 5mg	51	6	397	45	136	52.4	9.6				238	B4	E2	All	0	same_class7	sm7	C08CA01|C08CA01|C09CA07|C09CA07
ctg	NCT00614380	18		Total	130	28	1373	365	611	53.9	10.6				238	B5	Total	All	0	same_class7	sm7	C08CA01|C08CA01|C09CA07|C09CA07
ctg	NCT00624052	18		Telmisartan 40mg and Amlodipine 10mg	4	4	838	93	126	56.2	9.9				238	B1	E1	All	0	same_class7	sm7	C08CA01|C09CA07
ctg	NCT00624052	18		Telmisartan 80mg and Amlodipine 10mg	13	13	611	206	230	57.3	9.4				238	B2	E2	All	0	same_class7	sm7	C08CA01|C09CA07
ctg	NCT00624052	18		Total	17	17	1449	367	471	56.4	9.7				238	B5	Total	All	0	same_class7	sm7	C08CA01|C09CA07
ctg	NCT00631917	50		Aliskiren	191	28	375	194	181	59.3	6.99				378	B1	E1	All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00631917	50		Ramipril	198	22	399	194	205	59.3	6.65				378	B2	E2	All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00631917	50		Total	389	50	774	388	386	59.3	6.81				378	B3	Total	All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00649389	18	80	AML10/HCTZ25	221	9	552	266	334	54.6	10.82				84	B3	E3	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00649389	18	80	OM40/AML10	219	9	596	303	325	55.1	10.93				84	B1	E1	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00649389	18	80	OM40/AML10/HCTZ25	247	10	574	307	320	54.7	11.22				84	B4	E4	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00649389	18	80	OM40/HCTZ25	217	7	580	298	339	55.9	10.78				84	B2	E2	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00649389	18	80	Total	904	35	2302	1174	1318	55.1	10.94				84	B5	Total	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00687973	18		Atenolol/Amlodipine 100/10 mg	35	4	200	101	99	56.2	11.09				168	B2	E3	All	0	diff_class3	cc3	C07|C09
ctg	NCT00687973	18		Total	82	11	786	183	210	56.9	10.55				168	B3	Total	All	0	diff_class3	cc3	C07|C09
ctg	NCT00687973	18		Valsartan/Amlodipine 160/10 mg	34	4	193	82	111	57.5	9.94				168	B1	E2	All	0	diff_class3	cc3	C07|C09
ctg	NCT00696241	18		Azilsartan Medoxomil 20 mg QD	31	8	283	150	133	57.1	11.02	30.4	5.67		42	B1	E1	All	0	placebo	cc_plac	C09CA08|C09CA09
ctg	NCT00696241	18		Azilsartan Medoxomil 40 mg QD	19	0	281	141	142	57.4	9.62	30.6	5.94		42	B2	E2	All	0	placebo	cc_plac	C09CA08|C09CA09
ctg	NCT00696241	18		Azilsartan Medoxomil 80 mg QD	33	1	284	136	149	58.1	11.56	30	5.48		42	B3	E3	All	0	placebo	cc_plac	C09CA08|C09CA09
ctg	NCT00696241	18		Olmesartan 40 mg QD	20	2	282	142	140	58.9	11.57	29.8	5.25		42	B4	E4	All	0	placebo	cc_plac	C09CA08|C09CA09
ctg	NCT00696241	18		Placebo QD	16	3	142	66	76	59.4	10.53	30	4.93		42	B5	E5	All	0	placebo	cc_plac	C09CA08|C09CA09
ctg	NCT00696241	18		Total	119	14	1272	635	640	58.04439216	10.89703529	30.17772549	5.51214902		42	B6	Total	All	0	placebo	cc_plac	C09CA08|C09CA09
ctg	NCT00696436	18		Azilsartan Medoxomil 40 mg QD	20	2	280	133	147	57	12	31.7	6		42	B1	E1	All	0	placebo	cc_plac	C09CA03|C09CA08|C09CA09
ctg	NCT00696436	18		Azilsartan Medoxomil 80 mg QD	15	3	284	134	151	56	11	30.7	5.9		42	B2	E2	All	0	placebo	cc_plac	C09CA03|C09CA08|C09CA09
ctg	NCT00696436	18		Olmesartan 40 mg QD	27	4	290	131	159	56	11	31.1	5.5		42	B4	E4	All	0	placebo	cc_plac	C09CA03|C09CA08|C09CA09
ctg	NCT00696436	18		Placebo QD	16	2	155	64	90	56	11	30.5	5.4		42	B5	E5	All	0	placebo	cc_plac	C09CA03|C09CA08|C09CA09
ctg	NCT00696436	18		Total	102	14	1286	592	699	55.99845081	11.21688613	31.07025562	5.684817971		42	B6	Total	All	0	placebo	cc_plac	C09CA03|C09CA08|C09CA09
ctg	NCT00696436	18		Valsartan 320 mg QD	24	3	277	130	152	55	11	31.1	5.5		42	B3	E3	All	0	placebo	cc_plac	C09CA03|C09CA08|C09CA09
ctg	NCT00698646	70		HCTZ	31	4	128	62	66	77.7	4.8				112	B2	E2	All	0	diff_class3	cc3	C03|C09
jo	NCT00698646	70		Total	214	10	380	210	170	77.5	4.34	28.86	4.91	jo	112			All	0	diff_class3	cc3	C03|C09
ctg	NCT00698646	70		Total	76	10	384	214	170	77.5	4.34				112	B4	Total	All	0	diff_class3	cc3	C03|C09
ctg	NCT00698646	70		Valsartan	26	3	128	81	47	77.7	4.22				112	B1	E3	All	0	diff_class3	cc3	C03|C09
ctg	NCT00698646	70		Valsartan + HCTZ	19	3	128	71	57	77.2	3.99				112	B3	E1	All	0	diff_class3	cc3	C03|C09
ctg	NCT00699192	65		Amlodipine 5 mg	1	1	272	142	130	71.4	5.44				56	B3	E3	All	0	diff_class3	cc3	C09
ctg	NCT00699192	65		Amlodipine/Valsartan 5/40 mg	2	2	272	138	134	71.6	5.38				56	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00699192	65		Amlodipine/Valsartan 5/80 mg	5	5	274	152	123	71.8	5.01				56	B1	E1	All	0	diff_class3	cc3	C09
jo	NCT00699192	65		Total	159	8	819	432	387	71.6	5.27	28.23	4.2	jo	56			All	0	diff_class3	cc3	C09
ctg	NCT00699192	65		Total	8	8	818	432	387	71.6	5.27				56	B4	Total	All	0	diff_class3	cc3	C09
ctg	NCT00705575	18		Aliskiren (300 mg)	38	4	339	172	167	56.4	10.73				84	B2	E2	All	0	diff_class3	cc3	C03
ctg	NCT00705575	18		Aliskiren/Hydrochlorothiazide (HCTZ) (300/25 mg)	29	2	349	169	180	57.4	10.33				84	B1	E1	All	0	diff_class3	cc3	C03
jo	NCT00705575	18		Total	267	6	688	341	347	56.9	10.53	30	5.55	jo	84			All	0	diff_class3	cc3	C03
ctg	NCT00705575	18		Total	67	6	688	341	347	56.9	10.53				84	B3	Total	All	0	diff_class3	cc3	C03
ctg	NCT00706134	65		Aliskiren 150 mg	3	3	189	106	83	72.1	5.47				56	B3	E3	All	0	placebo	cc_plac	C09XA02
ctg	NCT00706134	65		Aliskiren 300 mg	0	0	188	102	84	72.1	5.47				56	B4	E4	All	0	placebo	cc_plac	C09XA02
ctg	NCT00706134	65		Aliskiren 75 mg	2	2	191	109	83	72.1	5.47				56	B2	E2	All	0	placebo	cc_plac	C09XA02
ctg	NCT00706134	65		Placebo	1	1	186	100	89	72.3	5.25				56	B1	E1	All	0	placebo	cc_plac	C09XA02
jo	NCT00706134	65		Total	152	6	754	415	339	72.2	5.4	28.36	4.47	jo	56			All	0	placebo	cc_plac	C09XA02
ctg	NCT00706134	65		Total	6	6	754	417	339	72.1	5.47				56	B5	Total	All	0	placebo	cc_plac	C09XA02
ctg	NCT00739973	18		Aliskiren 150 mg Tablet	15	0	194	76	119	54.3	11.07				56	B2	E2	All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Aliskiren 300 mg Tablet	18	0	203	108	95	54	9.99				56	B3	E3	All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Aliskiren/Amlodipine 150/10 mg Tablet	21	2	181	96	87	53	10.59				56	B7	E7	All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Aliskiren/Amlodipine 150/5 mg Tablet	16	1	181	84	97	53.9	10.82				56	B6	E6	All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Aliskiren/Amlodipine 300/10 mg Tablet	31	1	184	78	106	54.4	10.86				56	B9	E9	All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Aliskiren/Amlodipine 300/5 mg Tablet	9	1	178	100	78	54.8	10.29				56	B8	E8	All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Amlodipine 10 mg Capsule	33	1	181	94	87	55	10.34				56	B5	E5	All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Amlodipine 5 mg Capsule	19	1	185	86	99	54.2	11.61				56	B4	E4	All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Placebo	24	2	198	108	90	53.7	10.32				56	B1	E1	All	0	placebo	cc_plac	C08CA01|C09XA02
jo	NCT00739973	18		Total	587	9	1688	830	858	54.1	10.65	30.3	5.42	jo	112			All	0	placebo	cc_plac	C08CA01|C09XA02
ctg	NCT00739973	18		Total	186	9	1685	830	858	54.1	10.65				56	B10	Total	All	0	placebo	cc_plac	C08CA01|C09XA02
ng	NCT00750113	18	75	nifedipine		3	103								168			All	0	diff_class3	cc3	C08|C09
ng	NCT00750113	18	75	nifedipine/telmisartan		3	201								168			All	0	diff_class3	cc3	C08|C09
ng	NCT00750113	18	75	telmisartan		2	101								168			All	0	diff_class3	cc3	C08|C09
ng	NCT00750113	18	75	Total		8	405							calculated	168			All	0	diff_class3	cc3	C08|C09
jo	NCT00751751	65		Total			441							jo	420			All	0	diff_class7	cc7	C09CA01|C09CA08
jo	NCT00751829	65		Total			417							jo	224			All	0	diff_class3	cc3	C08|C09
ctg	NCT00760266	55		Aliskiren / HCTZ	21	4	227	127	101	64.5	7.57				28	B1	E1	All	0	diff_class3	cc3	C09
ctg	NCT00760266	55		HCTZ	29	3	223	100	123	65.1	6.96				28	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00760266	55		Total	50	7	450	227	224	64.8	7.27				28	B3	Total	All	0	diff_class3	cc3	C09
ctg	NCT00765674	18		Aliskiren / Amlodipine	35	3	287	115	172	54.4	11.33				56	B1	E1	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00765674	18		Aliskiren / Amlodipine / Hydrochlorothiazide	35	6	309	123	187	55.4	10.54				56	B4	E4	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00765674	18		Aliskiren / Hydrochlorothiazide	19	2	297	123	175	55.5	10.75				56	B2	E2	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00765674	18		Amlodipine / Hydrochlorothiazide	28	2	295	110	186	55.1	10.86				56	B3	E3	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00765674	18		Total	117	13	1188	471	720	55.1	10.86				56	B5	Total	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00777946	18		Aliskiren 300 mg	2	1	260	103	157	54.7	10.99				56	B3	E3	All	0	diff_class3	cc3	C08
ctg	NCT00777946	18		Aliskiren 300 mg/Amlodipine 10 mg	29	3	282	120	163	54.6	10.67				56	B1	E1	All	0	diff_class3	cc3	C08
ctg	NCT00777946	18		Aliskiren 300 mg/Amlodipine 5 mg	10	4	276	101	176	54.4	10.69				56	B2	E2	All	0	diff_class3	cc3	C08
ctg	NCT00777946	18		Total	41	8	818	324	496	54.6	10.77				56	B4	Total	All	0	diff_class3	cc3	C08
ctg	NCT00778921	18		Aliskiren 150mg/ Amlodipine 10mg	36	1	283	113	172	54.4	10.7				56	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00778921	18		Aliskiren 300mg/ Amlodipine 10mg	35	4	279	116	163	55.2	10.19				56	B1	E1	All	0	diff_class3	cc3	C09
ctg	NCT00778921	18		Amlodipine 10mg	40	0	281	99	184	54.3	10.92				56	B3	E3	All	0	diff_class3	cc3	C09
ctg	NCT00778921	18		Total	111	5	843	328	519	54.6	10.6				56	B4	Total	All	0	diff_class3	cc3	C09
ctg	NCT00787605	18		Aliskiren/HCTZ	31	3	428	212	216	59.7	9.83				56	B1	E1	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00787605	18		Amlodipine	90	4	431	209	223	59.8	10.01				56	B2	E2	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00787605	18		Total	121	7	859	421	439	59.8	9.91				56	B3	Total	All	0	diff_class3	cc3	C03|C08|C09
ctg	NCT00797316	18		Aliskiren	22	4	265	129	136	53.5	10.87				56	B2	E2	All	0	diff_class3	cc3	C03
ctg	NCT00797316	18		Aliskiren/HCTZ	16	3	267	128	139	54.4	11.09				56	B1	E1	All	0	diff_class3	cc3	C03
ctg	NCT00797316	18		Total	38	7	532	257	275	53.9	10.98				56	B3	Total	All	0	diff_class3	cc3	C03
ctg	NCT00809926	18		Total	37	8	451	223	228	57.1	11				56	B3	Total	All	0	diff_class5	cc5	C09XA
ctg	NCT00809926	18		Valsartan	18	3	219	116	103	56.7	11				56	B2	E2	All	0	diff_class5	cc5	C09XA
ctg	NCT00809926	18		Valsartan/ Aliskiren	19	5	232	107	125	57.5	11.1				56	B1	E1	All	0	diff_class5	cc5	C09XA
ctg	NCT00841672	18		Aliskiren/Amlodipine 300/10 mg Tablet	41	0	243	136	108	59	10.38				56	B1	E1	All	0	diff_class3	cc3	C09
ctg	NCT00841672	18		Amlodipine 10 mg Capsule	59	3	241	139	102	59	10.82				56	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00841672	18		Total	100	3	484	275	210	59	10.6				56	B3	Total	All	0	diff_class3	cc3	C09
ctg	NCT00846365	18		Azilsartan Medoxomil 20-40mg Plus Chlorthalidone 12.5-25 mg QD	70	4	372	175	197	55.5	10.49	31.7	5.94		56	B1	E1	All	0	diff_class5	cc5	C03AA|C03BA
ctg	NCT00846365	18		Azilsartan Medoxomil 40-80mg Plus Chlorthalidone 12.5-25 mg QD	80	8	357	174	183	56.7	10.83	31.8	6.4		56	B2	E2	All	0	diff_class5	cc5	C03AA|C03BA
ctg	NCT00846365	18		Olmesartan Medoxomil 20-40mg/Hydrochlorothiazide 12.5-25mg QD	62	6	356	173	183	55.7	9.78	31.9	6.08		56	B3	E3	All	0	diff_class5	cc5	C03AA|C03BA
ctg	NCT00846365	18		Total	212	18	1085	522	563	56	10.38	31.8	6.14		56	B4	Total	All	0	diff_class5	cc5	C03AA|C03BA
ctg	NCT00853957	18		Aliskiren/Amlodipine	26	1	220	123	97	53.2	9.33				56	B1	E1	All	0	diff_class3	cc3	C09
ctg	NCT00853957	18		Amlodipine	32	1	223	115	108	52.4	10.57				56	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00853957	18		Total	58	2	443	238	205	52.8	9.97				56	B3	Total	All	0	diff_class3	cc3	C09
ctg	NCT00860262	18		Amlodipine 10 mg	44	2	220	102	118	58.6	10.5	30.7	6.3		56	B3	E3	All	0	diff_class3	cc3	C08|C09
ctg	NCT00860262	18		T80+A10	70	3	421	202	219	58	10.4	30.6	5.9		56	B1	E1	All	0	diff_class3	cc3	C08|C09
ctg	NCT00860262	18		Telmisartan 80 mg	27	2	217	109	108	58.1	10.2	30.2	5.2		56	B2	E2	All	0	diff_class3	cc3	C08|C09
ctg	NCT00860262	18		Total	141	7	858	413	445	58.2	10.3	30.6	5.8		56	B4	Total	All	0	diff_class3	cc3	C08|C09
ctg	NCT00865020	18		Aliskiren 300 mg	18	3	411	206	208	55.8	11.46				91	B1	E1	All	0	diff_class5	cc5	C09CA|C09XA
ctg	NCT00865020	18		Telmisartan 80 mg	37	5	403	178	230	56	11.91				91	B2	E2	All	0	diff_class5	cc5	C09CA|C09XA
ctg	NCT00865020	18		Total	55	8	814	384	438	55.9	11.68				91	B3	Total	All	0	diff_class5	cc5	C09CA|C09XA
jo	NCT00872586	18	75	Total			304							jo	84			All	0	diff_class3	cc3	C03
ctg	NCT00877929	18		Amlodipine 10 mg	75	4	354	169	185	60.5	9.7	31.8	6.1		56	B2	E2	All	0	diff_class3	cc3	C09
ctg	NCT00877929	18		Telmisartan 80 mg + Amlodipine 10 mg	65	3	352	172	180	60.5	10.4	32.1	6		56	B1	E1	All	0	diff_class3	cc3	C09
ctg	NCT00877929	18		Total	140	7	706	341	365	60.5	10.1	32	6.1		56	B3	Total	All	0	diff_class3	cc3	C09
ctg	NCT00902304	18		Combination (Initial Combination Therapy Arm)	127	22	678	260	418	59	12				182	B3	E4	All	0	placebo	cc_plac	A10BA02
ctg	NCT00902304	18		Monotherapy (Initial Monotherapy Arm)	51	15	360	138	222	59	12				182	B2	E3	All	0	placebo	cc_plac	A10BA02
ctg	NCT00902304	18		Total	371	88	3747	599	963	59	12				182	B4	Total	All	0	placebo	cc_plac	A10BA02
ctg	NCT00902304	18		Usual Care	71	24	524	201	323	59	12				182	B1	E2	All	0	placebo	cc_plac	A10BA02
ctg	NCT00902538	18		OLM 40-AML 10-HCTZ 25	10	3	270	116	154	54.9	10.44	30.44	4.87		112	B3	E3	All	0	diff_class3	cc3	C03
ctg	NCT00902538	18		OLM 40-AML 10-Hydrochlorothiazide (HCTZ) 12.5	22	15	269	104	165	56.5	10.25	30.3	4.65		112	B2	E2	All	0	diff_class3	cc3	C03
ctg	NCT00902538	18		Olmesartan(OLM) 40 Mg-Amlodipine(AML) 10 mg	131	18	2204	119	150	55.9	10.56	30.27	4.9		112	B1	E1	All	0	diff_class3	cc3	C03
ctg	NCT00902538	18		Total	163	36	2743	339	469	55.8	10.42	30.34	4.8		112	B4	Total	All	0	diff_class3	cc3	C03
ctg	NCT00923091	18		Olmesartan/Amlodipine 20mg/5mg	27	1	333	185	152	56.1	10.22				378	B6	E6	All	0	diff_class3	cc3	C03
