nct_id,official_title,first_received_date,in_jo,baseline_res,sae_res,source,csr_status
NCT00698646,"A 16 Week Multi-center, Randomized, Double-blind Study to Evaluate Efficacy and Safety of Valsartan/Hydrochlorothiazide (HCTZ) Combination Therapy Compared to Patients Initiated With Valsartan Monotherapy or Hydrochlorothiazide (HCTZ) Monotherapy in Very Elderly Patients With Essential Hypertension",2008-06-13,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00705575,"A 12 Week, Double-blind, Randomized, Parallel Group, Multi-center Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren 300 mg and Hydrochlorothiazide 25 mg Compared to Aliskiren 300 mg in Patients With Stage II Hypertension",2008-06-23,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00706134,"An Eight-week Double-blind, Multi-center, Randomized, Placebo-controlled, Parallel-group Study to Evaluate the Efficacy and Safety of Aliskiren 75 mg, 150 mg, and 300 mg in Elderly Patients With Essential Hypertension When Given With a Light Meal",2008-06-25,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00739973,"An 8-week Double-blind, Multicenter, Randomized, Multifactorial, Placebo-controlled, Parallel-group Study to Evaluate the Efficacy and Safety of Aliskiren Administered Alone and in Combination With Amlodipine in Patients With Essential Hypertension",2008-08-20,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00750113,A Multicenter Study Evaluating the Efficacy of Nifedipine GITS - Telmisartan Combination in Blood Pressure Control and Beyond: Comparison of Two Treatment Strategies.,2008-09-09,FALSE,FALSE,FALSE,Bayer,Got CSR summary
NCT00751751,Comparison of the Efficacy of Olmesartan Medoxomil Versus Losartan on Diastolic Blood Pressure in Elderly and Very Elderly Patients With Essential Hypertension.,2008-09-11,TRUE,FALSE,FALSE,"Daiichi Sankyo, Inc.",extracted_jo
NCT00751829,Comparison of the Efficacy of Olmesartan Medoxomil Versus Nitrendipine on Systolic Blood Pressure in Elderly and Very Elderly Patients With Isolated Systolic Hypertension,2008-09-11,TRUE,FALSE,FALSE,"Daiichi Sankyo, Inc.",extracted_jo
NCT00760266,"An 8-week Randomized, Double-blind, Parallel-group, Multi-center, Active-controlled Dose Escalation Study to Evaluate the Efficacy and Safety of Aliskiren HCTZ (300/25 mg) Compared to HCTZ (25 mg) in Older Patients With Stage 2 Systolic Hypertension",2008-09-25,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00765674,"An 8 Week, Double-blind, Randomized, Parallel Group, Active-controlled Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren/Amlodipine/Hydrochlorothiazide in Patients With Moderate to Severe Hypertension",2008-10-02,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00777946,"A Randomized, Eight-week Double-blind, Parallel-group, Multicenter Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren / Amlodipine (300/5 mg and 300/10 mg) in Comparison With Aliskiren 300 mg in Patients With Essential Hypertension Not Adequately Responsive to Aliskiren 300 mg Monotherapy",2008-10-20,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00778921,"A Randomized, Eight Week Double-blind, Parallel-group, Multicenter Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren / Amlodipine (150/10 mg and 300/10 mg) in Comparison With Amlodipine 10 mg in Patients With Essential Hypertension Not Adequately Responsive to Amlodipine 10 mg Monotherapy",2008-10-23,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00787605,An 8-week Study to Evaluate the Efficacy and Safety of Aliskiren HCTZ (300/25 mg) Compared to Amlodipine (10 mg) in Patients With Stage 2 Systolic Hypertension and Diabetes Mellitus,2008-11-05,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00797316,"An 8-week Randomized, Double-blind, Parallel-group, Multi-center, Forced-titration Study to Evaluate the Efficacy and Safety of Aliskiren Plus HCTZ Compared to Aliskiren Monotherapy in Metabolic Syndrome Patients With Stage 2 Hypertension",2008-11-24,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00809926,"An 8-week Randomized, Double-Blind, Parallel Group, Multi-Center, Active Controlled Study to Evaluate the Efficacy and Safety of Valsartan Administered in Combination With Aliskiren (160/150 mg, 320/300 mg) Versus Valsartan Alone (160 mg, 320 mg) in Patients With Stage 2 Hypertension",2008-12-16,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00877929,"An 8-week Randomised, Double-blind Study to Compare the Fixed-dose Combination of Telmisartan 80 + Amlodipine 10mg Versus Amlodipine 10 mg Monotherapy as First Line Therapy in Type 2 Diabetes Patients With Hypertension.",2009-02-06,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00841672,"An 8-week, Double-blind, Randomized, Parallel Group, Multi-center Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren 300 mg and Amlodipine 10 mg Compared to Amlodipine 10 mg in Patients",2009-02-10,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00846365,"A Phase 3, Double-Blind, Randomized, Efficacy and Safety Study Comparing the TAK-491 Plus Chlorthalidone Fixed-Dose Combination vs Benicar HCTÂ® (Olmesartan Medoxomil-Hydrochlorothiazide) in Subjects With Moderate to Severe Essential Hypertension",2009-02-13,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00853957,"An 8-week Multicenter, Randomized, Double-blind, Active Control, Parallel Group Study to Evaluate the Efficacy and Safety of Aliskiren Administered in Combination With Amlodipine (150/5 mg, 300/10 mg) Versus Amlodipine Alone (5 mg, 10 mg) in African American Patients With Stage 2 Hypertension",2009-02-26,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00860262,"An 8-week Randomised, Double-blind Study to Compare the Fixed-dose Combination of Telmisartan 80 mg & Amlodipine 10mg Versus Telmisartan 80 mg Monotherapy or Amlodipine 10 mg Monotherapy as First Line Therapy in Patients With Severe Hypertension (Grade 3).",2009-03-11,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00865020,"A Twelve-week, Randomized, Double-blind, Parallel Group Study to Evaluate the Prolonged Efficacy and Safety of Aliskiren 300 mg Compared to Telmisartan 80 mg in Mild to Moderate Hypertensive Patients With the 24-hour Ambulatory Blood Pressure Measurement After 1 Week of Treatment Withdrawal Study Acronym: ASSERTIVE - AliSkiren Study of Profound antihypERtensive Efficacy in hyperTensIVE Patients",2009-03-17,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00872586,"A Randomized, Double-blind, Double-dummy, Multicenter Clinical Trial to Evaluate the Additional Efficacy and Safety of Olmesartan Medoxomil 20mg / Hydrochlorothiazide 12.5mg in the Treatment of Chinese Patients With Mild to Moderate Essential Hypertension, Who Fail to Attain the Blood Pressure Goals With Olmesartan Medoxomil 20mg Monotherapy",2009-03-27,TRUE,FALSE,FALSE,"Daiichi Sankyo, Inc.",extracted_jo
NCT00902304,A Phase IV Clinical Trial of Intensified Blood Pressure Management in Primary Care Using Valsartan Alone and as Combination Anti-Hypertensive Therapy,2009-04-28,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00902538,Add-on Study of Hydrochlorothiazide in Patients With Moderate to Severe Hypertension Not Achieving Target Blood Pressure on Olmesartan/Amlodipine Alone,2009-05-13,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00923091,"Randomised, Double-Blind, Parallel-Group Study Evaluating Efficacy and Safety of Co-Administration of Triple Combinations of Olmesartan Medoxomil, Amlodipine Besylate, and Hydrochlorothiazide Compared With Corresponding Olmesartan - Amlodipine Combination in Subjects With Hypertension",2009-06-16,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00926289,"A Randomised, Double-blind, Double Dummy, Active Controlled, Parallel Group, Forced Titration Study to Compare the Fixed-dose Combination of Telmisartan 80mg Plus Hydrochlorothiazide 25mg (T80/HCTZ25) Versus Telmisartan 80mg (T80) Monotherapy as First Line Therapy in Patients With Grade 2 or Grade 3 Hypertension (Systolic Blood Pressure (SBP) >=160 mmHg and Diastolic Blood Pressure (DBP) >=100 mmHg)",2009-06-22,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00927394,"An 8 Week Randomized, Double-Blind, Parallel Group, Multi-Center, Active Controlled Study to Evaluate the Antihypertensive Efficacy and Safety of Aliskiren Administered in Combination With Valsartan Versus Valsartan Alone in Patients With Stage 2 Systolic Hypertension and Type 2 Diabetes Mellitus",2009-06-24,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00931710,"A 12-week Multicenter, Randomized, Double-blind, Parallel-group, Active-control Study to Evaluate the Antihypertensive Efficacy and Safety of Valsartan/Amlodipine-based Regimen Versus a Losartan-based Regimen in Patients With Stage 2 Systolic Hypertension",2009-07-01,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00942994,"An 8-week Multicenter, Randomized, Double-blind, Active Controlled, Parallel Group, Forced Titration Study to Evaluate the Efficacy and Safety of Aliskiren/Amlodipine/HCTZ Compared to Aliskiren/Amlodipine in US Minority Patients With Stage 2 Hypertension",2009-07-19,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00949884,"A Randomized, Double-blind, Active-comparator, 8-week Forced-titration Study of the Efficacy and Safety of Olmesartan Medoxomil Versus Losartan Potassium in Hypertensive Subjects",2009-07-29,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00956644,Efficacy and Safety of Irbesartan/Amlodipine Fixed Combination Therapy Compared With Amlodipine Monotherapy in Hypertensive Patients Uncontrolled on Amlodipine 5 mg Monotherapy,2009-08-10,FALSE,FALSE,FALSE,Sanofi,Got CSR summary
NCT00957554,Efficacy and Safety of Irbesartan/Amlodipine Fixed Combination Therapy Compared With Irbesartan Monotherapy in Hypertensive Patients Uncontrolled on Irbesartan 150 mg Monotherapy,2009-08-11,FALSE,FALSE,FALSE,Sanofi,Got CSR summary
NCT00993109,"Randomized,Open-label,Parallel Design Comparator Study of Effect of Nifedipine GITS/OROS (Adalat) 30 mg in Combination With Valsartan (Diovan) 80 mg Compared to Valsartan (Diovan) 160 mg Monotherapy in Patients Whose Blood Pressure is Not Well Controlled by Valsartan 80 mg Alone",2009-10-09,FALSE,FALSE,FALSE,Bayer,Got CSR summary
NCT00996281,"A Phase 3, Open-Label, Randomized, Long-Term Comparison of the Safety and Tolerability of the TAK-491 Plus Chlorthalidone Fixed-Dose Combination vs. Olmesartan Medoxomil-Hydrochlorothiazide Fixed-Dose Combination in Subjects With Essential Hypertension",2009-10-12,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT01001572,"A Multi-national, Multi-center, Double-blind, Randomized, Parallel Study Comparing the Efficacy and Safety of Valsartan/Amlodipine 160/5 mg to Valsartan 160 mg Alone in Patients With Mild to Moderate Essential Hypertension Not Adequately Controlled With Valsartan 160 mg Monotherapy",2009-10-15,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT01033071,"A Phase 3b, Double-Blind, Randomized, 12-Week Efficacy and Safety Study Comparing the TAK-491 Plus Chlorthalidone Fixed-Dose Combination vs Olmesartan Medoxomil-Hydrochlorothiazide in Subjects With Moderate to Severe Hypertension",2009-12-14,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT01042392,Efficacy of Aliskiren Compared to Ramipril in the Treatment of Moderate Systolic Hypertensive Patients,2010-01-01,TRUE,TRUE,TRUE,NA,extracted_jo
NCT01071122,"A Prospective, Open-label, Active-controlled, Randomized Study Comparing Nifedipine GITS Versus Valsartan Versus a Combination of Both on Central Blood Pressure in Inadequately Controlled Essential Hypertension.",2010-02-18,FALSE,FALSE,FALSE,Bayer,Got CSR summary
NCT01075698,A Trial of Telmisartan Prevention of Cardiovascular Disease,2010-02-24,FALSE,FALSE,FALSE,Kumamoto University,Not searched
NCT01101009,Efficacy of SevikarÂ® Compared to the Combination of Perindopril/ Amlodipine on Central Arterial Blood Pressure in Patients With Moderate to Severe Hypertension-,2010-04-07,FALSE,FALSE,FALSE,"Daiichi Sankyo, Inc.",No access to CSR
NCT01167153,"A 12 Weeks, Multi-center, Open Label, Randomized, Active Drug Parallel Control Trial to Compare the Effectiveness of Valsartan/Amlodipine and Nifedipine in Treating Chinese Hypertensive Patients Not Respond to Mono Antihypertensive Treatment",2010-07-20,TRUE,TRUE,TRUE,NA,extracted_jo
NCT01237223,"An 8-week Double-blind, Multicenter, Randomized, 6-arm, Placebo-controlled, Parallel-group Study to Evaluate the Efficacy and Safety of SPA100 (Fixed-dose Combination of Aliskiren and Amlodipine) in Patients With Essential Hypertension",2010-10-29,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT01368536,"A 12-week, Multi-Center, Randomized Double-Blind, Active Control Parallel Group Study to Evaluate the Efficacy and Safety of the Combination of Valturna and Amlodipine or Valturna and Chlorthalidone Versus Valturna Alone in Patients With Stage 2 Hypertension and Diabetes",2011-06-06,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT01508026,"A Multicenter, Randomized, Double-blind, Placebo-Controlled, 8-Week Study to Evaluate the Safety and Efficacy of Nebivolol and Valsartan Given as a Fixed Dose Combination in Patients With Stage 1 or 2 Essential Hypertension",2012-01-09,FALSE,FALSE,FALSE,Forest Laboratories,Not searched
NCT01518855,Clinical Effect and Cost Effectiveness of Ca Antagonist in Combination With AII Receptor Antagonist in Patient With Essential Hypertension (PMS Study),2012-01-24,FALSE,FALSE,FALSE,Bayer,Got CSR summary
NCT01599104,"A Multi-center, Randomized, Double-blind, Active-controlled, 8-week Study to Evaluate the Efficacy and Safety of LCZ696 in Comparison to Olmesartan in Japanese Patients With Essential Hypertension",2012-05-13,TRUE,TRUE,TRUE,NA,extracted_jo
NCT01615198,"A 14 Week, Randomized, Double-blind, Multi-center, Parallel Group, Active Controlled Study to Evaluate the Efficacy and Safety of LCZ696 in Comparison to Olmesartan in Elderly Patients With Essential Hypertension",2012-06-06,TRUE,TRUE,TRUE,NA,extracted_jo
NCT01785472,"A Multi-center, Randomized, Double-blind, Active-controlled, 8-week Study to Evaluate the Efficacy and Safety of LCZ696 in Comparison to Olmesartan in Patients With Essential Hypertension",2013-02-05,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT01838850,"A Randomized, Double-blind, Parallel Group Study to Evaluate the Efficacy and Safety of Triple Fixed Dose Combination Therapy With Olmesartan Medoxomil 20mg, Amlodipine 5mg and Hydrochlorothiazide 12.5mg in Patients With Hypertension Not Controlled With Dual Fixed Dose Combination Therapy With Olmesartan Medoxomil 20mg and Hydrochlorothiazide 12.5mg",2013-04-22,FALSE,FALSE,FALSE,"Daiichi Sankyo, Inc.",No access to CSR
NCT01876368,"A Randomized 8-week Double-blind, Parallel-group, Active-controlled, Multicenter Study to Evaluate Efficacy and Safety of LCZ696 200 mg in Comparison With Olmesartan 20 mg in Essential Hypertensive Patients Not Responsive to Olmesartan",2013-06-09,TRUE,TRUE,TRUE,NA,extracted_jo
NCT01928628,"A Randomized, Multicenter, Parallel Design Phase III Clinical Study to Evaluate the Efficacy and Safety of the Combination of Lercanidipine/Valsartan in Hypertensive Patients Who Are Not Adequately Controlled on Lercanidipine 10mg Monotherapy.",2013-08-21,FALSE,FALSE,FALSE,LG Life Sciences,Not searched
NCT01975246,An Eight-week Randomised Double-blind Study to Compare the Efficacy and Safety of Telmisartan 80 mg and Amlodipine 5 mg and Hydrochlorothiazide 12.5 mg vs. Telmisartan 80 mg and Amlodipine 5 mg in Patients With Hypertension Who Fail to Respond Adequately to Treatment With Telmisartan 80 mg and Amlodipine 5 mg,2013-10-29,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT02172586,"A PROBE (Prospective, Randomised, Open-label, Blinded Endpoint) Trial to Investigate the Efficacy and Safety of Telmisartan 40-80 mg Once Daily Compared With Losartan 50-100 mg Once Daily Over a Period of 12 Weeks, and of Telmisartan 80 mg + HCTZ 12.5 mg Once Daily Compared With Losartan 100 mg Once Daily + HCTZ 12.5 mg Once Daily Over a Period of Further 12 Weeks in Mild to Moderate Hypertensive Patients (Grade 1 and Grade 2 WHO-ISH Guidelines 1999)",2014-06-20,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT02175355,"A Randomised, Double- Blind, Placebo-controlled, 6 Week Parallel-group Trial on the Efficacy and Safety of the Angiotensin II Receptor Antagonist MicardisÂ® (Telmisartan 20 mg, 40 mg or 80 mg, p.o. Once Daily) or Hydrochlorothiazide 12.5 mg p.o. Once Daily in the Management of Patients With Isolated Systolic Hypertension (ISH). (ARAMIS - Study = Angiotensin II Receptor Antagonist Micardis in Isolated Systolic Hypertension)",2014-06-25,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT02177396,A Prospective Randomized Open-Label Blinded End Point (PROBE) Trial Comparing MICARDISÂ® (Telmisartan) (80 mg QD) and Valsartan (80 mg QD) in Patients With Mild-to-Moderate Hypertension Using Ambulatory Blood Pressure Monitoring.,2014-06-26,FALSE,FALSE,FALSE,Boehringer Ingelheim,NO SAE data in CSR summary
NCT02177409,"A Prospective Randomized Open-Label, Blinded-Endpoint (PROBE) Trial Comparing MICARDISÂ® (Telmisartan) (80 mg QD) and Amlodipine (5 mg QD) in Patients With Mild-to-Moderate Hypertension Using Ambulatory Blood Pressure Monitoring.",2014-06-26,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT02177435,"An Eight Week Randomized, Double-Blind Study Comparing a Fixed Dose Combination of Telmisartan 80 mg Plus Hydrochlorothiazide 12.5 mg to Telmisartan 80 mg in Patients Who Fail to Respond Adequately to Treatment With Telmisartan 80 mg.",2014-06-26,TRUE,FALSE,FALSE,Boehringer Ingelheim,extracted_jo
NCT02177461,"A PROBE (Prospective, Randomised, Open-Label, Blinded Endpoint) Trial to Investigate the Efficacy and Safety of Telmisartan 40-80mg Once Daily Compared With 10-20 mg Enalapril Once Daily Over a Period of 24 Weeks in Elderly Patients With Blood Hypertension",2014-06-26,TRUE,FALSE,FALSE,Boehringer Ingelheim,extracted_jo
NCT02177500,"An Eight Week Randomized, Double-Blind Study Comparing a Fixed Dose Combination of Telmisartan 40 mg Plus Hydrochlorothiazide 12.5 mg to Telmisartan 40 mg in Patients Who Fail to Respond Adequately to Treatment With Telmisartan 40 mg",2014-06-26,TRUE,FALSE,FALSE,Boehringer Ingelheim,extracted_jo
NCT02183701,A Prospective Randomised Open-Label Blinded Endpoint Trial Comparing Telmisartan 80 mg and Losartan 50 mg + Hydrochlorothiazide 12.5 mg (Fixed Dose Combination) in Patients With Mild-to-Moderate Essential Hypertension Using Ambulatory Blood Pressure Monitoring,2014-07-07,FALSE,FALSE,FALSE,Boehringer Ingelheim,NO SAE data in CSR summary
NCT02200640,"A Prospective, Randomized, Double-Blind, Double-Dummy, Titration-to-Response Trial Comparing MICARDISÂ® (Telmisartan) (40 & 80 mg QD) and COZAARÂ® (Losartan) (50 & 100 mg QD) in Patients With Mild-to-Moderate Hypertension Using Ambulatory Blood Pressure Monitoring",2014-07-24,FALSE,FALSE,FALSE,Boehringer Ingelheim,NO SAE data in CSR summary
NCT02200653,"A Prospective, Randomised, Double-Blind, Double-Dummy, Titration-to-Response Trial Comparing MICARDISÂ® (Telmisartan) (40 or 80 mg p.o. Once Daily) and COZAARÂ® / LORZAARÂ® (Losartan) (50 or 100 mg p.o. Once Daily) in Patients With Mild-to-Moderate Hypertension Using Ambulatory Blood Pressure Monitoring (TOPAS STUDY = Telmisartan and LOsartan ComParative ABPM Study)",2014-07-24,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT02242318,"A Prospective, Randomised, Double-blind, Double-dummy Trial to Compare the Efficacy of MicardisÂ® (Telmisartan) (80 mg p.o. Once Daily) and Valsartan (160 mg p.o. Once Daily) in Patients With Mild-to-moderate Hypertension After Missing One Dose Using Ambulatory Blood Pressure Monitoring",2014-09-16,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT02269176,"12 Week, Multi-center, Randomized, Double-blind, Double Dummy, Parallel Group Trial Comparing the Efficacy and Safety of 40 & 80 mg Telmisartan and 50 & 100 mg Losartan in the Treatment of 150 Pairs of Primary Hypertension Patients",2014-10-20,FALSE,FALSE,FALSE,Boehringer Ingelheim,NO SAE data in CSR summary
NCT02495324,"A Randomized, Double-blind, Active Control, 3-parallel Group, Forced Titration, Multicenter, Phase IV Study to Evaluate the Efficacy and Safety of Fimasartan Versus Valsartan Monotherapy in Patients With Mild to Moderate Essential Hypertension",2015-07-07,FALSE,FALSE,FALSE,"Boryung Pharmaceutical Co., Ltd",Not searched
NCT02738632,"Randomized, Double-Blind, Multi-Center, Phase 3 Trial to Evaluate the Efficacy and Safety of Telmisartan/Amlodipine/Hydrochlorothiazide Combination in Comparison With Telmisartan/Amlodipine Combination for Essential Hypertension Patients Not Controlled by Telmisartan/Amlodipine Combination",2016-04-11,FALSE,FALSE,FALSE,IlDong Pharmaceutical Co Ltd,Not searched
