nct_id,measure,description
NCT00281580,Change From Baseline at 8 Weeks in Seated Trough Cuff Mean DBP (Observed Amlodipine Effects),Observed results
NCT00281580,Change From Baseline at 8 Weeks in Seated Trough Cuff Mean DBP (Adjusted Amlodipine Effects),"Results stem from an ANCOVA including the main effects of treatment with telmisartan, treatment with amlodipine, and country/region with baseline DBP included as a covariate."
NCT00281580,Change From Baseline at 8 Weeks in Seated Trough Cuff Mean DBP (Observed Treatment Effects),Observed results
NCT00281580,Change From Baseline at 8 Weeks in Seated Trough Cuff Mean DBP (Adjusted Treatment Effects),"Results stem from an ANCOVA including the main effects of treatment with telmisartan, treatment with amlodipine, and country/region with baseline DBP included as a covariate."
NCT00281580,"Change From Baseline at 8 Weeks in Seated Trough Cuff Mean DBP (Adjusted Treatment Effects, Excluding Pl)","Results stem from an ANCOVA including the main effects of treatment with telmisartan, treatment with amlodipine, and country/region with baseline DBP included as a covariate."
NCT00281580,Change From Baseline in Seated Trough Cuff Mean DBP (Observed Telmisartan Effect),Observed results
NCT00281580,Change From Baseline in Seated Trough Cuff Mean DBP (Adjusted Telmisartan Effects),"Results stem from an ANCOVA including the main effects of treatment with telmisartan, treatment with amlodipine, and country/region with baseline DBP included as a covariate."
NCT00281580,Change From Baseline in Seated Trough Cuff Mean DBP (Observed Amlodipine Effects),Observed results
NCT00281580,Change From Baseline in Seated Trough Cuff Mean DBP (Adjusted Amlodipine Effects),"Results stem from an ANCOVA including the main effects of treatment with telmisartan, treatment with amlodipine, and country/region with baseline DBP included as a covariate."
NCT00281580,Change From Baseline in Seated Trough Cuff Mean DBP (Observed Treatment Effects),Observed results
NCT00281580,Change From Baseline in Seated Trough Cuff Mean DBP (Adjusted Treatment Effects),"Results stem from an ANCOVA including the main effects of treatment with telmisartan, treatment with amlodipine, and country/region with baseline DBP included as a covariate."
NCT00281580,"Change From Baseline in Seated Trough Cuff Mean DBP (Adjusted Treatment Effects, Excluding Pl)","Results stem from an ANCOVA including the main effects of treatment with telmisartan, treatment with amlodipine, and country/region with baseline DBP included as a covariate."
NCT00280540,Change from baseline systolic blood pressure after 4 weeks,NA
NCT00280540,Change from baseline systolic blood pressure after 2 and 6 weeks,NA
NCT00277472,Blood pressure control (systolic blood pressure <140 and diastolic blood pressure <90mmHg) after 4 weeks,NA
NCT00277472,Blood pressure control (systolic blood pressure <140 and diastolic blood pressure <90mmHg) after 2 weeks and 20 weeks,NA
NCT00274612,Changes in the last 6-hour mean (relative to dose time) diastolic and systolic blood pressure (DBP and SBP) as measured by ABPM,NA
NCT00274599,Change from baseline in the last 6-hr mean DBP & SBP as measured by ABPM at the end of and 8-wk treatment period (T80 vs R5 mg) and 14-wk treatment period (T80 vs R10 mg),NA
NCT00273299,Blood pressure less than 140/90 mmHg after 4 weeks,NA
NCT00264212,Change from baseline in office seated SBP at week 12,NA
NCT00262236,Change from baseline in diastolic blood pressure after 12 weeks,NA
NCT00260923,Change from baseline in diastolic blood pressure after 8 weeks,NA
NCT00240474,Change from baseline in the last 6-hour mean (relative to dose time) in SBP as measured by 24-hour ABPM at the end-of-study visit,NA
NCT00240448,Change from baseline in mean seated trough cuff diastolic and systolic blood pressure measurements at the end of an 8-week treatment period,NA
NCT00239369,Change from baseline in trough seated DBP,NA
NCT00220233,Mean change in trough seated diastolic blood pressure,NA
NCT00220220,Mean change in trough sitting diastolic blood pressure (dBP) assessed by conventional BP measurements after 8 weeks of double-blind treatment.,NA
NCT00219193,Change from baseline in diastolic blood pressure after 8 weeks,NA
NCT00219180,Change from baseline in diastolic blood pressure after week 8,NA
NCT00219167,Change from baseline in average 24 hour systolic ambulatory blood pressure after 8 weeks,NA
NCT00219154,Change from baseline in diastolic blood pressure after 26 weeks,NA
NCT00219141,Change in Left Ventricular Mass Index (LVMI) From Baseline to End of Study (Week 36),"Left ventricular mass index (LVMI) was measured by magnetic resonance imaging (MRI). An increase in LVMI indicates hypertrophy of the left ventricle. This could be a normal reversible response to cardiovascular conditioning (athletic heart) or an abnormal irreversible response to chronically increased volume load (preload) or increased pressure load (afterload). Thickening of the ventricular muscle results in increased left ventricular pressure, increased end-systolic volume, and decreased end-diastolic volume, causing an overall reduction in cardiac output."
NCT00219128,Change from baseline in diastolic blood pressure after 8 weeks,NA
NCT00219115,Change from baseline in mean sitting diastolic blood pressure after 8 weeks,NA
NCT00219102,Change from baseline in diastolic blood pressure after 12 weeks,NA
NCT00219089,Change from baseline in mean sitting diastolic blood pressure after 8 weeks,NA
NCT00219076,Change from baseline in mean sitting diastolic blood pressure after 6 weeks,NA
NCT00219063,Change from baseline in diastolic blood pressure after 26 weeks,NA
NCT00219037,"Adverse events, laboratory abnormalities, serious adverse events",NA
NCT00219024,Change from baseline in diastolic blood pressure after 8 weeks,NA
NCT00190580,Course of renal and cardiac function,NA
NCT00185172,To compare the efficacy on diastolic blood pressure of 40 mg olmesartan to a combination of 20 mg olmesartan and 12.5 mg hydrochlorothiazide in patients who are not sufficiently responding to treatment with 20 mg olmesartan.,NA
NCT00185133,Change from baseline in trough seated systolic blood pressure and seated diastolic blood pressure for each treatment arm,NA
NCT00171093,Change in serum low density lipoprotein cholesterol (LDL-C ),NA
NCT00171093,Change in average ambulatory systolic blood pressure over 24 hours,NA
NCT00171002,Change from baseline in diastolic blood pressure after 8 weeks,NA
NCT00170989,Change from baseline in diastolic blood pressure from baseline after 8 weeks,NA
NCT00170963,Change from baseline in diastolic blood pressure after 8 weeks,NA
NCT00170924,"Change from baseline in diastolic heart function at 38 weeks, measured by echocardiogram",NA
NCT00168857,Change from baseline after one year of treatment in proteinuria (ratio of protein to creatinine as measure in spot urine sample).,NA
NCT00168779,Mean seated trough cuff DBP and SBP,NA
NCT00154271,Change from baseline to Week 6 in mean sitting blood pressure (SD),NA
NCT00154271,Change from baseline to Week 12 in median plasma hsCRP,NA
NCT00154271,Change from baseline to Week 6 in median plasma hsCRP,NA
NCT00153023,"Change from baseline (Visit 6) in 24 hour proteinuria, after one year of treatment (study end) with telmisartan 80 mg versus valsartan 160 mg.",NA
NCT00151827,"Change in mean sitting diastolic blood pressure (dBP), assessed by conventional blood pressure measurements after 12 weeks of treatment",NA
NCT00149227,New Onset or Recurrence of Stroke,"Stroke events included brain hemorrhage, infarction, and TIA. They required hospitalization with neurological symptoms and were diagnosed by CT and/or MRI. The first of any of these events to occur in a specific patient was classified as an event to be counted in the primary endpoint by the Endpoint Committee. We estimated the number of enrolled patients to validate the hypothesis under the assumption that the valsartan add-on group achieves a 20% risk reduction compared with the conventional treatment group and gives 80% statistical power for detecting a clinical signiï¬cance with a two-tailed 5% statistical signiï¬cant level."
NCT00149227,New Onset or Recurrence of Transient Ischemic Attack,"Transient ischemic attack (TIA) was defined as hospitalization with sudden onset of neurological deficit persisting for less than 24 hrs, and without abnormal findings using by CT and/or MRI. The first of any of these events to occur in a specific patient was classified as an event to be counted in the primary endpoint by the Endpoint Committee. We estimated the number of enrolled patients to validate the hypothesis under the assumption that the valsartan add-on group achieves a 20% risk reduction compared with the conventional treatment group and gives 80% statistical power for detecting a clinical signiï¬cance with a two-tailed 5% statistical signiï¬cant level."
NCT00149227,New Onset or Recurrence of Acute Myocardial Infarction,"Acute myocardial infarction was diagnosed with hospitalization, ECG- change, and biomarkers for myocardial infarction. The first of any of these events to occur in a specific patient was classified as an event to be counted in the primary endpoint by the Endpoint Committee. We estimated the number of enrolled patients to validate the hypothesis under the assumption that the valsartan add-on group achieves a 20% risk reduction compared with the conventional treatment group and gives 80% statistical power for detecting a clinical signiï¬cance with a two-tailed 5% statistical signiï¬cant level."
NCT00149227,"Hospitalization Due to the New Onset, Recurrence or Worsening of Heart Failure and Additional Concomitant Use of Other Anti-heart Failure Agents or Increase of Dosage",Heart failure event was defined as requiring hospitalization and clinical symptoms together with left ventricular dysfunction by echocardiography according to the guidelines of the AHA/ACC. The first of any of these events to occur in a specific patient was classified as an event to be counted in the primary endpoint by the Endpoint Committee. We estimated the number of enrolled patients to validate the hypothesis under the assumption that the valsartan add-on group achieves a 20% risk reduction compared with the conventional treatment group and gives 80% statistical power for detecting a clinical signiï¬cance with a two-tailed 5% statistical signiï¬cant level.
NCT00149227,"Hospitalization Due to the New Onset, Occurrence or Worsening of Angina Pectoris and Additional Concomitant Use of Other Anti-anginal Agents or Increase of Dosage",Angina pectoris event required hospitalization and was diagnosed by both ECG changes corresponding with chest symptoms and coronary angiography showing 75% stenosis according to AHA/ACC guidelines. The first of any of these events to occur in a specific patient was classified as an event to be counted in the primary endpoint by the Endpoint Committee. We estimated the number of enrolled patients to validate the hypothesis under the assumption that the valsartan add-on group achieves a 20% risk reduction compared with the conventional treatment group and gives 80% statistical power for detecting a clinical signiï¬cance with a two-tailed 5% statistical signiï¬cant level.
NCT00149227,Operation of PCI or Bypass Operation,NA
NCT00149227,New Onset of Acute Dissecting Aneurysm of the Aorta,"Dissecting aneurysm of the aorta required hospitalization and was diagnosed by imaging technique, CT and/or MRI. The first of any of these events to occur in a specific patient was classified as an event to be counted in the primary endpoint by the Endpoint Committee. We estimated the number of enrolled patients to validate the hypothesis under the assumption that the valsartan add-on group achieves a 20% risk reduction compared with the conventional treatment group and gives 80% statistical power for detecting a clinical signiï¬cance with a two-tailed 5% statistical signiï¬cant level."
NCT00149227,"New Onset, Recurrence or Worsening of Arteriosclerosis Obliterans",Arteriosclerosis obliterans (ASO) event was diagnosed with symptoms and CT / MRI imaging. The first of any of these events to occur in a specific patient was classified as an event to be counted in the primary endpoint by the Endpoint Committee. We estimated the number of enrolled patients to validate the hypothesis under the assumption that the valsartan add-on group achieves a 20% risk reduction compared with the conventional treatment group and gives 80% statistical power for detecting a clinical signiï¬cance with a two-tailed 5% statistical signiï¬cant level.
NCT00149227,"Transition to Dialysis, Doubling of Plasma Cr Levels","The first of any events, ""transition to dialysis"" or ""doubling of plasma Cr levels compared to the entry"", occurring in a specific patient was classified as an event to be counted in the primary endpoint by the Endpoint Committee. We estimated the number of enrolled patients to validate the hypothesis under the assumption that the valsartan add-on group achieves a 20% risk reduction compared with the conventional treatment group and gives 80% statistical power for detecting a clinical signiï¬cance with a two-tailed 5% statistical signiï¬cant level."
NCT00146341,The primary efficacy variable is change from baseline in seated DBP at trough (24 hours post-dosing) after eight weeks of randomized treatment or at last trough observation during the double-blind phase (i.e. last trough observation carried forward).,NA
NCT00134160,"A composite of fatal and non-fatal cardiovascular events: Cerebrovascular events (cerebral infarction, cerebral hemorrhage, subarachnoid hemorrhage, stroke of undetermined etiology and transient ischemic attack)",NA
NCT00134160,"Coronary events (sudden death, myocardial infarction, angina pectoris, asymptomatic myocardial ischemia)",NA
NCT00134160,Heart failure,NA
NCT00134160,"Vascular events (aortic aneurysm, aortic dissection, and arteriosclerotic diseases)",NA
NCT00134160,"Diabetic complications (nephropathy, retinopathy and neuropathy)",NA
NCT00134160,"Renal dysfunction (doubling of serum creatinine, end stage renal diseases)",NA
NCT00134160,All cause mortality,NA
NCT00129233,"Composite cardiovascular events including fatal or non-fatal myocardial infarction, fatal or non-fatal stroke, admission due to heart failure, coronary intervention and sudden cardiac death",NA
NCT00110422,Change from baseline in insulin resistance(MatsudaIndex)Week16,NA
NCT00095550,Change from baseline in SeSBP at Week 8,NA
NCT00095394,Proportion of subjects whose seated diastolic blood pressure is controlled (SeDBP < 90 mmHg) at Week 5,NA
NCT00034840,"Change in the 24-hour mean diastolic blood pressure (DBP), as measured by ABPM after a missed dose",NA
NCT00034840,"Change in the mean DBP during the last 6 hours of the 24-hour dosing interval, as measured by ABPM after an active dose of study medication",NA
