sid,nct_id,inclusion_exclusion,criteria_sentences,classification_result,caption,cui,term,negated,uncertain,temporal_constraint,measurement_constraint,dose_constraint
34,NCT00413049,Exclusion,any surgical condition or medical condition ; which in the opinion of the investigator or the novartis monitor ; placed the patient at higher risk from his / her participation in the study ; or were likely to prevent the patient from complying with the requirement of the study or completing the trial period .,Drug Exposure,Other,C1561579;C1561578,medical,FALSE,FALSE,NA,NA,NA
34,NCT00413049,Exclusion,any surgical condition or medical condition ; which in the opinion of the investigator or the novartis monitor ; placed the patient at higher risk from his / her participation in the study ; or were likely to prevent the patient from complying with the requirement of the study or completing the trial period .,Drug Exposure,Other,C0728873;C0030695,monitor,FALSE,FALSE,NA,NA,NA
35,NCT00413049,Exclusion,volume depletion based on the investigator clinical judgment using vital signs ; skin turgor ; moistness of mucous membranes ; and laboratory values .,Condition Occurrence,Condition,C0546884,volume depletion,FALSE,FALSE,NA,NA,NA
35,NCT00413049,Exclusion,volume depletion based on the investigator clinical judgment using vital signs ; skin turgor ; moistness of mucous membranes ; and laboratory values .,Condition Occurrence,Condition,C0277937,skin turgor,FALSE,FALSE,NA,NA,NA
35,NCT00413049,Exclusion,volume depletion based on the investigator clinical judgment using vital signs ; skin turgor ; moistness of mucous membranes ; and laboratory values .,Condition Occurrence,Condition,C2230150,mucous membranes,FALSE,FALSE,NA,NA,NA
35,NCT00413049,Exclusion,volume depletion based on the investigator clinical judgment using vital signs ; skin turgor ; moistness of mucous membranes ; and laboratory values .,Condition Occurrence,Observation,C1697786;C1571737,laboratory,FALSE,FALSE,NA,NA,NA
35,NCT00413049,Exclusion,volume depletion based on the investigator clinical judgment using vital signs ; skin turgor ; moistness of mucous membranes ; and laboratory values .,Condition Occurrence,Other,C3272565;C1555900;C1608518;C1611832,clinical,FALSE,FALSE,NA,NA,NA
35,NCT00413049,Exclusion,volume depletion based on the investigator clinical judgment using vital signs ; skin turgor ; moistness of mucous membranes ; and laboratory values .,Condition Occurrence,Other,C0518766;C0150404;C1704752;C0488614,vital signs,FALSE,FALSE,NA,NA,NA
36,NCT00413049,Exclusion,any chronic inflammatory condition requiring chronic anti-inflammatory therapy .,Other,Other,C1547296;C1555457,chronic,FALSE,FALSE,NA,NA,NA
36,NCT00413049,Exclusion,any chronic inflammatory condition requiring chronic anti-inflammatory therapy .,Other,Other,C1547296;C1555457,chronic,FALSE,FALSE,NA,NA,NA
37,NCT00413049,Exclusion,history of malignancy of any organ system ; treated or untreated ; within the past 5 years whether or not there was evidence of local recurrence or metastases ; with the exception of localized basal cell carcinoma of the skin .,Condition Occurrence,Condition,C0006826;C1306459,malignancy,FALSE,FALSE,lower 5 past years,NA,NA
37,NCT00413049,Exclusion,history of malignancy of any organ system ; treated or untreated ; within the past 5 years whether or not there was evidence of local recurrence or metastases ; with the exception of localized basal cell carcinoma of the skin .,Condition Occurrence,Condition,C2825055;C1458156,recurrence,FALSE,FALSE,NA,NA,NA
37,NCT00413049,Exclusion,history of malignancy of any organ system ; treated or untreated ; within the past 5 years whether or not there was evidence of local recurrence or metastases ; with the exception of localized basal cell carcinoma of the skin .,Condition Occurrence,Condition,C0027627;C2939419,metastases,FALSE,FALSE,NA,NA,NA
37,NCT00413049,Exclusion,history of malignancy of any organ system ; treated or untreated ; within the past 5 years whether or not there was evidence of local recurrence or metastases ; with the exception of localized basal cell carcinoma of the skin .,Condition Occurrence,Condition,C0007117,basal cell carcinoma of the skin,TRUE,FALSE,NA,NA,NA
38,NCT00413049,Exclusion,history of drug of alcohol abuse within the last 2 years .,Condition Occurrence,Condition,C0085762,alcohol abuse,FALSE,FALSE,lower 2 last years,NA,NA
38,NCT00413049,Exclusion,history of drug of alcohol abuse within the last 2 years .,Condition Occurrence,Other,C0013227;C1254351;C0740721,drug,FALSE,FALSE,NA,NA,NA
39,NCT00413049,Exclusion,use of other investigational drugs at the time of enrollment ; or within 30 days or 5 half-lives of enrollment ; whichever was longer .,Condition Occurrence,Condition,C2024467,time,FALSE,FALSE,NA,NA,NA
39,NCT00413049,Exclusion,use of other investigational drugs at the time of enrollment ; or within 30 days or 5 half-lives of enrollment ; whichever was longer .,Condition Occurrence,Condition,C0595998,lives,FALSE,FALSE,lower 30 days; equal 5 days,NA,NA
39,NCT00413049,Exclusion,use of other investigational drugs at the time of enrollment ; or within 30 days or 5 half-lives of enrollment ; whichever was longer .,Condition Occurrence,Drug,C0013230,investigational drugs,FALSE,FALSE,NA,NA,NA
39,NCT00413049,Exclusion,use of other investigational drugs at the time of enrollment ; or within 30 days or 5 half-lives of enrollment ; whichever was longer .,Condition Occurrence,Other,C1696073;C1516879,enrollment,FALSE,FALSE,NA,NA,NA
39,NCT00413049,Exclusion,use of other investigational drugs at the time of enrollment ; or within 30 days or 5 half-lives of enrollment ; whichever was longer .,Condition Occurrence,Other,C1696073;C1516879,enrollment,FALSE,FALSE,NA,NA,NA
40,NCT00413049,Exclusion,inability to communicate and comply with all study requirements including the unwillingness or inability to provide informed consent .,Condition Occurrence,Condition,C1845266,inability to communicate,FALSE,FALSE,NA,NA,NA
41,NCT00413049,Exclusion,persons directly involved in the execution of this protocol .,Person,Person,C0027361,persons,FALSE,FALSE,NA,NA,NA
42,NCT00413049,Exclusion,history of non-compliance to medical regimens ; or unwillingness to comply with the study protocol .,Other,Condition,C0376405,non-compliance,FALSE,FALSE,NA,NA,NA
42,NCT00413049,Exclusion,history of non-compliance to medical regimens ; or unwillingness to comply with the study protocol .,Other,Other,C1561579;C1561578,medical,FALSE,FALSE,NA,NA,NA
42,NCT00413049,Exclusion,history of non-compliance to medical regimens ; or unwillingness to comply with the study protocol .,Other,Other,C2945654,regimens,FALSE,FALSE,NA,NA,NA
42,NCT00413049,Exclusion,history of non-compliance to medical regimens ; or unwillingness to comply with the study protocol .,Other,Other,C2348563;C1507394,study protocol,FALSE,FALSE,NA,NA,NA
43,NCT00413049,Exclusion,currently taking prohibited concomitant medications ( s ) listed and inability / unwillingness to discontinue them for the entire study period .,Other,Other,C1706472,discontinue,FALSE,FALSE,NA,NA,NA
44,NCT00413049,Exclusion,any severe disease ; life-threatening disease within the past five years .,Condition Occurrence,Condition,C2826244;C3537125,life-threatening,FALSE,FALSE,NA,NA,NA
44,NCT00413049,Exclusion,any severe disease ; life-threatening disease within the past five years .,Condition Occurrence,Other,C1547231;C1547227;C1561581,severe,FALSE,FALSE,NA,NA,NA
45,NCT00413049,Exclusion,arm circumference > 42 cm for patients participating in ambulatory blood pressure monitoring ( abpm ),Observation,Condition,C2075184,arm circumference,FALSE,FALSE,NA,greater 42 cm,NA
45,NCT00413049,Exclusion,arm circumference > 42 cm for patients participating in ambulatory blood pressure monitoring ( abpm ),Observation,Observation,C0242876,ambulatory blood pressure monitoring,FALSE,FALSE,NA,NA,NA
1,NCT00413413,Inclusion,male or female outpatients > = 18 years and < 86 years,Person,Person,C0025266,male,FALSE,FALSE,greater_equal 18 years; lower 86 years,NA,NA
1,NCT00413413,Inclusion,male or female outpatients > = 18 years and < 86 years,Person,Person,C0086287,female,FALSE,FALSE,greater_equal 18 years; lower 86 years,NA,NA
2,NCT00413413,Inclusion,patients with essential diastolic hypertension,Condition Occurrence,Condition,C3694763,essential diastolic hypertension,FALSE,FALSE,NA,NA,NA
3,NCT00413413,Inclusion,at visit 1 ; the patient must have mean sitting diastolic blood pressure > = 95 mmhg and < 10 mmhg,Observation,Condition,C1319894,sitting diastolic blood pressure,FALSE,FALSE,NA,greater_equal 95 mmhg; lower 10 mmhg,NA
4,NCT00413413,Inclusion,patients treated with antihypertensive medication must have a mean sitting diastolic blood pressure < 100 mmhg,Drug Exposure,Condition,C1319894,sitting diastolic blood pressure,FALSE,FALSE,NA,lower 100 mmhg,NA
4,NCT00413413,Inclusion,patients treated with antihypertensive medication must have a mean sitting diastolic blood pressure < 100 mmhg,Drug Exposure,Drug,C0003364,antihypertensive,FALSE,FALSE,NA,NA,NA
5,NCT00413413,Inclusion,at visit 2 ; patients must have a mean sitting diastolic blood pressure of > = 95 mmhg and < 100 mmhg,Observation,Condition,C1319894,sitting diastolic blood pressure,FALSE,FALSE,NA,greater_equal 95 mmhg; lower 100 mmhg,NA
6,NCT00413413,Inclusion,at visit 3 ; patients must have a mean sitting diastolic blood pressure of > = 90 mmhg and < 110 mmhg,Observation,Condition,C1319894,sitting diastolic blood pressure,FALSE,FALSE,NA,greater_equal 90 mmhg; lower 110 mmhg,NA
7,NCT00413413,Exclusion,severe hypertension > = 180 / 110 mmhg,Observation,Observation,C0020538;C1963138,hypertension,FALSE,FALSE,NA,greater_equal 180 mmhg; greater_equal 110 mmhg,NA
7,NCT00413413,Exclusion,severe hypertension > = 180 / 110 mmhg,Observation,Other,C1547231;C1547227;C1561581,severe,FALSE,FALSE,NA,NA,NA
8,NCT00413413,Exclusion,known or suspected contraindications ; including a history of allergy or hypersensitivity to valsartan or amlodipine or to other drugs with similar chemical structures,Drug Exposure,Drug,C0051696,amlodipine,FALSE,FALSE,NA,NA,NA
8,NCT00413413,Exclusion,known or suspected contraindications ; including a history of allergy or hypersensitivity to valsartan or amlodipine or to other drugs with similar chemical structures,Drug Exposure,Procedure,C3687832,drugs,FALSE,FALSE,NA,NA,NA
8,NCT00413413,Exclusion,known or suspected contraindications ; including a history of allergy or hypersensitivity to valsartan or amlodipine or to other drugs with similar chemical structures,Drug Exposure,Observation,C0020517;C0520946,hypersensitivity,FALSE,FALSE,NA,NA,NA
8,NCT00413413,Exclusion,known or suspected contraindications ; including a history of allergy or hypersensitivity to valsartan or amlodipine or to other drugs with similar chemical structures,Drug Exposure,Other,C0489531;C0718579;C3542994;C3539909;C1314973;C1547315;C1611280,allergy,FALSE,FALSE,NA,NA,NA
8,NCT00413413,Exclusion,known or suspected contraindications ; including a history of allergy or hypersensitivity to valsartan or amlodipine or to other drugs with similar chemical structures,Drug Exposure,Other,C0220806;C3272558,chemical,FALSE,FALSE,NA,NA,NA
9,NCT00413413,Exclusion,inability to discontinue all prior antihypertensive medications safely for a maximum period of up to 28 days prior to visit 2,Drug Exposure,Drug,C0003364,antihypertensive,FALSE,FALSE,lower_equal 28 days,NA,NA
9,NCT00413413,Exclusion,inability to discontinue all prior antihypertensive medications safely for a maximum period of up to 28 days prior to visit 2,Drug Exposure,Other,C1706472,discontinue,FALSE,FALSE,NA,NA,NA
10,NCT00413413,Exclusion,history of hypertensive encephalopathy ; cerebrovascular accident or transient ischemic attack ; myocardial infarction or other types of revascularization,Condition Occurrence,Condition,C0151620,hypertensive encephalopathy,FALSE,FALSE,NA,NA,NA
10,NCT00413413,Exclusion,history of hypertensive encephalopathy ; cerebrovascular accident or transient ischemic attack ; myocardial infarction or other types of revascularization,Condition Occurrence,Condition,C0007787,transient ischemic attack,FALSE,FALSE,NA,NA,NA
10,NCT00413413,Exclusion,history of hypertensive encephalopathy ; cerebrovascular accident or transient ischemic attack ; myocardial infarction or other types of revascularization,Condition Occurrence,Condition,C0038454,cerebrovascular accident,FALSE,FALSE,NA,NA,NA
10,NCT00413413,Exclusion,history of hypertensive encephalopathy ; cerebrovascular accident or transient ischemic attack ; myocardial infarction or other types of revascularization,Condition Occurrence,Other,C0027051;C2926063;C0428953,myocardial infarction,FALSE,FALSE,NA,NA,NA
11,NCT00413413,Exclusion,malignant hypertension,Condition Occurrence,Condition,C0020540;C0024588,malignant hypertension,FALSE,FALSE,NA,NA,NA
12,NCT00413413,Exclusion,all patients with type i diabetes and those patients with type 2 diabetes who are not well controlled based on the investigator clinical judgment,Condition Occurrence,Condition,C0011854,type i diabetes,FALSE,FALSE,NA,NA,NA
12,NCT00413413,Exclusion,all patients with type i diabetes and those patients with type 2 diabetes who are not well controlled based on the investigator clinical judgment,Condition Occurrence,Condition,C0011860,type 2 diabetes,FALSE,FALSE,NA,NA,NA
12,NCT00413413,Exclusion,all patients with type i diabetes and those patients with type 2 diabetes who are not well controlled based on the investigator clinical judgment,Condition Occurrence,Other,C3272565;C1555900;C1608518;C1611832,clinical,FALSE,FALSE,NA,NA,NA
13,NCT00413413,Exclusion,pregnant women or nursing women,Person,Person,C0033011,pregnant women,FALSE,FALSE,NA,NA,NA
13,NCT00413413,Exclusion,pregnant women or nursing women,Person,Person,C0086287,women,FALSE,FALSE,NA,NA,NA
13,NCT00413413,Exclusion,pregnant women or nursing women,Person,Condition,C0006147,nursing,FALSE,FALSE,NA,NA,NA
14,NCT00413413,Exclusion,history of heart failure,Condition Occurrence,Condition,C0018801;C0018802,heart failure,FALSE,FALSE,NA,NA,NA
15,NCT00413413,Exclusion,angina pectoris,Condition Occurrence,Condition,C0002962;C0577698;C0235467;C0542052;C0010073;C0541777;C0235462,angina pectoris,FALSE,FALSE,NA,NA,NA
16,NCT00413413,Exclusion,second degree heart block or third degree heart block,Observation,Condition,C0018794;C0542001;C0037188,heart block,FALSE,FALSE,NA,NA,NA
16,NCT00413413,Exclusion,second degree heart block or third degree heart block,Observation,Condition,C0018794;C0542001;C0037188,heart block,FALSE,FALSE,NA,NA,NA
16,NCT00413413,Exclusion,second degree heart block or third degree heart block,Observation,Observation,C0542560,degree,FALSE,FALSE,NA,NA,NA
16,NCT00413413,Exclusion,second degree heart block or third degree heart block,Observation,Observation,C0542560,degree,FALSE,FALSE,NA,NA,NA
17,NCT00413413,Exclusion,life threatening or symptomatic arrhythmias,Condition Occurrence,Condition,C2826244;C3537125,life threatening,FALSE,FALSE,NA,NA,NA
17,NCT00413413,Exclusion,life threatening or symptomatic arrhythmias,Condition Occurrence,Condition,C0003811,arrhythmias,FALSE,FALSE,NA,NA,NA
18,NCT00413413,Exclusion,clinically significant valvular heart disease,Condition Occurrence,Condition,C0018824;C1963123,valvular heart disease,FALSE,FALSE,NA,NA,NA
19,NCT00413413,Exclusion,evidence of a secondary form of hypertension,Observation,Observation,C0020538;C1963138,hypertension,FALSE,FALSE,NA,NA,NA
20,NCT00413413,Exclusion,known or moderate malignant retinopathy,Condition Occurrence,Condition,C0334590;C1533592,malignant,FALSE,FALSE,NA,NA,NA
20,NCT00413413,Exclusion,known or moderate malignant retinopathy,Condition Occurrence,Condition,C0035309;C1962966,retinopathy,FALSE,FALSE,NA,NA,NA
20,NCT00413413,Exclusion,known or moderate malignant retinopathy,Condition Occurrence,Other,C1547226,moderate,FALSE,FALSE,NA,NA,NA
21,NCT00413413,Exclusion,evidence of hepatic disease,Condition Occurrence,Condition,C0023895,hepatic disease,FALSE,FALSE,NA,NA,NA
22,NCT00413413,Exclusion,evidence of renal impairment,Condition Occurrence,Condition,C1565489;C0035078,renal impairment,FALSE,FALSE,NA,NA,NA
23,NCT00413413,Exclusion,other protocol-defined may apply,Other,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
1,NCT00425997,Inclusion,male or female patients 18 years of age or older,Person,Person,C0025266,male,FALSE,FALSE,equal 18 years,NA,NA
1,NCT00425997,Inclusion,male or female patients 18 years of age or older,Person,Observation,C0150905,female patients,FALSE,FALSE,equal 18 years,NA,NA
2,NCT00425997,Inclusion,diagnosed of having hypertension ; defined as a mean seated systolic bp > = 160 mmhg ( stage 2 hypertension ),Observation,Observation,C0020538;C1963138,hypertension,FALSE,FALSE,NA,NA,NA
2,NCT00425997,Inclusion,diagnosed of having hypertension ; defined as a mean seated systolic bp > = 160 mmhg ( stage 2 hypertension ),Observation,Observation,C0871470,systolic bp,FALSE,FALSE,NA,greater_equal 160 mmhg,NA
2,NCT00425997,Inclusion,diagnosed of having hypertension ; defined as a mean seated systolic bp > = 160 mmhg ( stage 2 hypertension ),Observation,Observation,C0020538;C1963138,hypertension,FALSE,FALSE,NA,NA,NA
2,NCT00425997,Inclusion,diagnosed of having hypertension ; defined as a mean seated systolic bp > = 160 mmhg ( stage 2 hypertension ),Observation,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
3,NCT00425997,Exclusion,symptomatic hypertension or severe hypertension,Observation,Observation,C0020538;C1963138,hypertension,FALSE,FALSE,NA,NA,NA
3,NCT00425997,Exclusion,symptomatic hypertension or severe hypertension,Observation,Observation,C0020538;C1963138,hypertension,FALSE,FALSE,NA,NA,NA
3,NCT00425997,Exclusion,symptomatic hypertension or severe hypertension,Observation,Other,C1547231;C1547227;C1561581,severe,FALSE,FALSE,NA,NA,NA
4,NCT00425997,Exclusion,patients treated with more than 2 antihypertensive medications,Drug Exposure,Drug,C0003364,antihypertensive,FALSE,FALSE,NA,greater 2,NA
5,NCT00425997,Exclusion,clinically known or suspected history of secondary hypertension,Condition Occurrence,Condition,C0155616,secondary hypertension,FALSE,FALSE,NA,NA,NA
6,NCT00425997,Exclusion,myocardial infarction ; stroke ; transient ischemic attack ; cardiovascular revascularizationgioplasty in last 6 months,Condition Occurrence,Condition,C0007787,transient ischemic attack,FALSE,FALSE,lower_equal 6 last months,NA,NA
6,NCT00425997,Exclusion,myocardial infarction ; stroke ; transient ischemic attack ; cardiovascular revascularizationgioplasty in last 6 months,Condition Occurrence,Other,C0027051;C2926063;C0428953,myocardial infarction,FALSE,FALSE,NA,NA,NA
7,NCT00425997,Exclusion,diagnosis of heart failure ( nyha class ii-,Condition Occurrence,Condition,C0018801;C0018802,heart failure,FALSE,FALSE,NA,NA,NA
7,NCT00425997,Exclusion,diagnosis of heart failure ( nyha class ii-,Condition Occurrence,Condition,C1882083,nyha class,FALSE,FALSE,NA,NA,NA
8,NCT00425997,Exclusion,chronic renal hepatic disease or severe hepatic disease,Condition Occurrence,Condition,C0023895,hepatic disease,FALSE,FALSE,NA,NA,NA
8,NCT00425997,Exclusion,chronic renal hepatic disease or severe hepatic disease,Condition Occurrence,Condition,C0023895,hepatic disease,FALSE,FALSE,NA,NA,NA
8,NCT00425997,Exclusion,chronic renal hepatic disease or severe hepatic disease,Condition Occurrence,Other,C1547296;C1555457,chronic,FALSE,FALSE,NA,NA,NA
8,NCT00425997,Exclusion,chronic renal hepatic disease or severe hepatic disease,Condition Occurrence,Other,C1547231;C1547227;C1561581,severe,FALSE,FALSE,NA,NA,NA
1,NCT00439738,Inclusion,40 years of age or older,Person,NA,NA,NA,NA,NA,NA,NA,NA
2,NCT00439738,Inclusion,moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg,Observation,Procedure,C0392535,top,FALSE,FALSE,NA,greater_equal 150 mmhg,NA
2,NCT00439738,Inclusion,moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg,Observation,Observation,C2700149,high,FALSE,FALSE,NA,NA,NA
2,NCT00439738,Inclusion,moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg,Observation,Observation,C0871470;C1306620;C0488055,systolic blood pressure,FALSE,FALSE,NA,NA,NA
2,NCT00439738,Inclusion,moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg,Observation,Observation,C0428883;C1305849;C0488052,diastolic blood pressure,FALSE,FALSE,NA,equal 110 mmhg,NA
2,NCT00439738,Inclusion,moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg,Observation,Other,C1547226,moderate,FALSE,FALSE,NA,NA,NA
2,NCT00439738,Inclusion,moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg,Observation,Other,C1547231;C1547227;C1561581,severe,FALSE,FALSE,NA,NA,NA
2,NCT00439738,Inclusion,moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg,Observation,Other,C0020538;C2926615,high blood pressure,FALSE,FALSE,NA,NA,NA
2,NCT00439738,Inclusion,moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg,Observation,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
3,NCT00439738,Inclusion,central ( abdominal ) obesity,Drug Exposure,Condition,C0311277,abdominal obesity,FALSE,FALSE,NA,NA,NA
3,NCT00439738,Inclusion,central ( abdominal ) obesity,Drug Exposure,Drug,C0719205,central,FALSE,FALSE,NA,NA,NA
4,NCT00439738,Exclusion,systolic blood pressure ( the top number ) greater than or equal to 180 mmhg blood pressure and diastolic blood pressure ( the bottom number ) greater than or equal to 110 mmhg,Observation,Procedure,C0392535,top,FALSE,FALSE,NA,NA,NA
4,NCT00439738,Exclusion,systolic blood pressure ( the top number ) greater than or equal to 180 mmhg blood pressure and diastolic blood pressure ( the bottom number ) greater than or equal to 110 mmhg,Observation,Observation,C0871470;C1306620;C0488055,systolic blood pressure,FALSE,FALSE,NA,NA,NA
4,NCT00439738,Exclusion,systolic blood pressure ( the top number ) greater than or equal to 180 mmhg blood pressure and diastolic blood pressure ( the bottom number ) greater than or equal to 110 mmhg,Observation,Observation,C0005823;C0005824;C1272641;C1271104,blood pressure,FALSE,FALSE,NA,greater_equal 180 mmhg; greater_equal 110 mmhg,NA
4,NCT00439738,Exclusion,systolic blood pressure ( the top number ) greater than or equal to 180 mmhg blood pressure and diastolic blood pressure ( the bottom number ) greater than or equal to 110 mmhg,Observation,Observation,C0428883;C1305849;C0488052,diastolic blood pressure,FALSE,FALSE,NA,greater_equal 180 mmhg; greater_equal 110 mmhg,NA
5,NCT00439738,Exclusion,currently taking more then 3 medications to treat high blood pressure,Observation,Other,C0020538;C2926615,high blood pressure,FALSE,FALSE,NA,equal 3,NA
6,NCT00439738,Exclusion,inability to stop all current blood pressure medications if any up to 4 weeks,Drug Exposure,Drug,C0723457,stop,FALSE,FALSE,NA,NA,NA
6,NCT00439738,Exclusion,inability to stop all current blood pressure medications if any up to 4 weeks,Drug Exposure,Observation,C0005823;C0005824;C1272641;C1271104,blood pressure,FALSE,FALSE,lower_equal 4 weeks,NA,NA
7,NCT00439738,Exclusion,history of type 1 diabetes or type 2 diabetes,Condition Occurrence,Condition,C0011854,type 1 diabetes,FALSE,FALSE,NA,NA,NA
7,NCT00439738,Exclusion,history of type 1 diabetes or type 2 diabetes,Condition Occurrence,Condition,C0011860,type 2 diabetes,FALSE,FALSE,NA,NA,NA
8,NCT00439738,Exclusion,history of stroke ; mini-stroke ( transient ischemic attack ) or heart attack within the last 6 months,Condition Occurrence,Condition,C1456577,mini-stroke,FALSE,FALSE,NA,NA,NA
8,NCT00439738,Exclusion,history of stroke ; mini-stroke ( transient ischemic attack ) or heart attack within the last 6 months,Condition Occurrence,Condition,C0007787,transient ischemic attack,FALSE,FALSE,NA,NA,NA
8,NCT00439738,Exclusion,history of stroke ; mini-stroke ( transient ischemic attack ) or heart attack within the last 6 months,Condition Occurrence,Condition,C0027051,heart attack,FALSE,FALSE,lower 6 last months,NA,NA
9,NCT00439738,Exclusion,history of or current diagnosis of congestive heart failure,Condition Occurrence,Condition,C0018802,congestive heart failure,FALSE,FALSE,NA,NA,NA
10,NCT00439738,Exclusion,history of cancer within the past 5 years with the exception of localized basal cell carcinoma or squamous cell carcinoma,Condition Occurrence,Condition,C0007137;C1302853,squamous cell carcinoma,TRUE,FALSE,NA,NA,NA
10,NCT00439738,Exclusion,history of cancer within the past 5 years with the exception of localized basal cell carcinoma or squamous cell carcinoma,Condition Occurrence,Other,C0260515;C2707253,cancer,FALSE,FALSE,lower 5 past years,NA,NA
10,NCT00439738,Exclusion,history of cancer within the past 5 years with the exception of localized basal cell carcinoma or squamous cell carcinoma,Condition Occurrence,Other,C0007117;C3540686;C1547219,basal cell carcinoma,TRUE,FALSE,NA,NA,NA
11,NCT00439738,Exclusion,women who are pregnant or nursing,Condition Occurrence,Person,C0086287,women,FALSE,FALSE,NA,NA,NA
11,NCT00439738,Exclusion,women who are pregnant or nursing,Condition Occurrence,Condition,C0549206,pregnant,FALSE,FALSE,NA,NA,NA
11,NCT00439738,Exclusion,women who are pregnant or nursing,Condition Occurrence,Condition,C0006147,nursing,FALSE,FALSE,NA,NA,NA
12,NCT00439738,Exclusion,alcohol or drug abuse within the last 2 years,Drug Exposure,Condition,C0013146,drug abuse,FALSE,FALSE,lower 2 last years,NA,NA
12,NCT00439738,Exclusion,alcohol or drug abuse within the last 2 years,Drug Exposure,Other,C0001975;C0001962;C1547288,alcohol,FALSE,FALSE,lower 2 last years,NA,NA
13,NCT00439738,Exclusion,other protocol-defined inclusion / may apply,Other,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
1,NCT00454662,Inclusion,outpatients aged 65 years or older ; and less than 85 years ( at the time of informed consent ) ; regardless of sex,Condition Occurrence,Person,C0001792,aged,FALSE,FALSE,greater_equal 65 years; lower 85 years,NA,NA
1,NCT00454662,Inclusion,outpatients aged 65 years or older ; and less than 85 years ( at the time of informed consent ) ; regardless of sex,Condition Occurrence,Condition,C2024467,time,FALSE,FALSE,NA,NA,NA
1,NCT00454662,Inclusion,outpatients aged 65 years or older ; and less than 85 years ( at the time of informed consent ) ; regardless of sex,Condition Occurrence,Other,C1522384;C1879943,sex,FALSE,FALSE,NA,NA,NA
2,NCT00454662,Inclusion,systolic blood pressure ( sbp ) > = 140 mmhg blood pressure or diastolic blood pressure ( dbp ) > = 90 mmhg in a sitting position on two consecutive measurements at clinic during use of 1 or more antihypertensive medications .,Observation,Condition,C0277814,sitting position,FALSE,FALSE,NA,NA,NA
2,NCT00454662,Inclusion,systolic blood pressure ( sbp ) > = 140 mmhg blood pressure or diastolic blood pressure ( dbp ) > = 90 mmhg in a sitting position on two consecutive measurements at clinic during use of 1 or more antihypertensive medications .,Observation,Drug,C0003364,antihypertensive,FALSE,FALSE,NA,greater_equal 1,NA
2,NCT00454662,Inclusion,systolic blood pressure ( sbp ) > = 140 mmhg blood pressure or diastolic blood pressure ( dbp ) > = 90 mmhg in a sitting position on two consecutive measurements at clinic during use of 1 or more antihypertensive medications .,Observation,Observation,C0871470;C1306620;C0488055,systolic blood pressure,FALSE,FALSE,NA,NA,NA
2,NCT00454662,Inclusion,systolic blood pressure ( sbp ) > = 140 mmhg blood pressure or diastolic blood pressure ( dbp ) > = 90 mmhg in a sitting position on two consecutive measurements at clinic during use of 1 or more antihypertensive medications .,Observation,Observation,C1306620,sbp,FALSE,FALSE,NA,NA,NA
2,NCT00454662,Inclusion,systolic blood pressure ( sbp ) > = 140 mmhg blood pressure or diastolic blood pressure ( dbp ) > = 90 mmhg in a sitting position on two consecutive measurements at clinic during use of 1 or more antihypertensive medications .,Observation,Observation,C0005823;C0005824;C1272641;C1271104,blood pressure,FALSE,FALSE,NA,greater_equal 140 mmhg,NA
2,NCT00454662,Inclusion,systolic blood pressure ( sbp ) > = 140 mmhg blood pressure or diastolic blood pressure ( dbp ) > = 90 mmhg in a sitting position on two consecutive measurements at clinic during use of 1 or more antihypertensive medications .,Observation,Observation,C0428883;C1305849;C0488052,diastolic blood pressure,FALSE,FALSE,NA,greater_equal 140 mmhg,NA
2,NCT00454662,Inclusion,systolic blood pressure ( sbp ) > = 140 mmhg blood pressure or diastolic blood pressure ( dbp ) > = 90 mmhg in a sitting position on two consecutive measurements at clinic during use of 1 or more antihypertensive medications .,Observation,Observation,C1305849,dbp,FALSE,FALSE,NA,greater_equal 90 mmhg,NA
3,NCT00454662,Inclusion,systolic blood pressure ( sbp ) > = 160 mmhg or diastolic blood pressure ( dbp ) > = 100 mmhg in a sitting position on two consecutive measurements at clinic without antihypertensive medication .,Observation,Condition,C0277814,sitting position,FALSE,FALSE,NA,NA,NA
